"DXDTRPF.Code.or.Value","DXDTRPF.Value.Description","DXDTRPF.Count","DXDTRPF.Cumulative","DXDTRPF.Skip.to.Item"
"10.4 to 58","Range of Values",4621,4621,NA
".","Missing",1071,5692,NA
