"AUXRR181.Code.or.Value","AUXRR181.Value.Description","AUXRR181.Count","AUXRR181.Cumulative","AUXRR181.Skip.to.Item"
"-50 to 91","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
