"RHQ568U.Code.or.Value","RHQ568U.Value.Description","RHQ568U.Count","RHQ568U.Cumulative","RHQ568U.Skip.to.Item"
"1","Months",39,39,NA
"2","Years",59,98,NA
"7","Refused",0,98,NA
"9","Don't know",0,98,NA
".","Missing",3419,3517,NA
