"SDMVPSU.Code.or.Value","SDMVPSU.Value.Description","SDMVPSU.Count","SDMVPSU.Cumulative","SDMVPSU.Skip.to.Item"
"1 to 3","Range of Values",9756,9756,NA
".","Missing",0,9756,NA
