"TYXP081.Code.or.Value","TYXP081.Value.Description","TYXP081.Count","TYXP081.Cumulative","TYXP081.Skip.to.Item"
"-259 to 146","Range of Values",5579,5579,NA
".","Missing",6,5585,NA
