"DR1TM221.Code.or.Value","DR1TM221.Value.Description","DR1TM221.Count","DR1TM221.Cumulative","DR1TM221.Skip.to.Item"
"0 to 7.03","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
