"BIXS1M.Code.or.Value","BIXS1M.Value.Description","BIXS1M.Count","BIXS1M.Cumulative","BIXS1M.Skip.to.Item"
"76.94 to 1049.77","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
