"DSQIMFAT.Code.or.Value","DSQIMFAT.Value.Description","DSQIMFAT.Count","DSQIMFAT.Cumulative","DSQIMFAT.Skip.to.Item"
"0.076 to 9","Range of Values",101,101,NA
".","Missing",8299,8400,NA
