"LBXNM.Code.or.Value","LBXNM.Value.Description","LBXNM.Count","LBXNM.Cumulative","LBXNM.Skip.to.Item"
"220 to 2890","Range of Values",2766,2766,NA
".","Missing",649,3415,NA
