"LBDSCHSI.Code.or.Value","LBDSCHSI.Value.Description","LBDSCHSI.Count","LBDSCHSI.Cumulative","LBDSCHSI.Skip.to.Item"
"1.707 to 14.404","Range of Values",6860,6860,NA
".","Missing",509,7369,NA
