"ORXH06.Code.or.Value","ORXH06.Value.Description","ORXH06.Count","ORXH06.Cumulative","ORXH06.Skip.to.Item"
"1","Positive",23,23,NA
"2","Negative",4387,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
