"TYXA162.Code.or.Value","TYXA162.Value.Description","TYXA162.Count","TYXA162.Cumulative","TYXA162.Skip.to.Item"
"0.09 to 6.641","Range of Values",4262,4262,NA
".","Missing",4207,8469,NA
