"MCQ365b.Code.or.Value","MCQ365b.Value.Description","MCQ365b.Count","MCQ365b.Cumulative","MCQ365b.Skip.to.Item"
"1","Yes",2244,2244,NA
"2","No",4220,6464,NA
"7","Refused",0,6464,NA
"9","Don't know",0,6464,NA
".","Missing",3306,9770,NA
