"OSD030cd.Code.or.Value","OSD030cd.Value.Description","OSD030cd.Count","OSD030cd.Cumulative","OSD030cd.Skip.to.Item"
"85","85 or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",1,1,NA
".","Missing",4879,4880,NA
