"DR1IVB6.Code.or.Value","DR1IVB6.Value.Description","DR1IVB6.Count","DR1IVB6.Cumulative","DR1IVB6.Skip.to.Item"
"0 to 7.914","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
