"LBDTCSI.Code.or.Value","LBDTCSI.Value.Description","LBDTCSI.Count","LBDTCSI.Cumulative","LBDTCSI.Skip.to.Item"
"1.53 to 13.52","Range of Values",6988,6988,NA
".","Missing",833,7821,NA
