"OSQ200.Code.or.Value","OSQ200.Value.Description","OSQ200.Count","OSQ200.Cumulative","OSQ200.Skip.to.Item"
"1","Yes",106,106,NA
"2","No",4596,4702,NA
"7","Refused",0,4702,NA
"9","Don't know",277,4979,NA
".","Missing",0,4979,NA
