"LBXCPSI.Code.or.Value","LBXCPSI.Value.Description","LBXCPSI.Count","LBXCPSI.Cumulative","LBXCPSI.Skip.to.Item"
"0.021 to 7.396","Range of Values",2985,2985,NA
".","Missing",282,3267,NA
