"RHQ602U.Code.or.Value","RHQ602U.Value.Description","RHQ602U.Count","RHQ602U.Cumulative","RHQ602U.Skip.to.Item"
"1","Months",6,6,NA
"2","Years",6,12,NA
"7","Refused",0,12,NA
"9","Don't know",0,12,NA
".","Missing",3585,3597,NA
