"MCQ260GF.Code.or.Value","MCQ260GF.Value.Description","MCQ260GF.Count","MCQ260GF.Cumulative","MCQ260GF.Skip.to.Item"
"6","Father's father",36,36,NA
".","Missing",9457,9493,NA
