"DSQIFA.Code.or.Value","DSQIFA.Value.Description","DSQIFA.Count","DSQIFA.Cumulative","DSQIFA.Skip.to.Item"
"2 to 10000","Range of Values",2713,2713,NA
".","Missing",6846,9559,NA
