"WTSOG2YR.Code.or.Value","WTSOG2YR.Value.Description","WTSOG2YR.Count","WTSOG2YR.Cumulative","WTSOG2YR.Skip.to.Item"
"0 to 406363.419","Range of Values",3163,3163,NA
".","Missing",0,3163,NA
