"CIQP14.Code.or.Value","CIQP14.Value.Description","CIQP14.Count","CIQP14.Cumulative","CIQP14.Skip.to.Item"
"1 to 400","Range of Values",82,82,NA
"900","900 +",0,82,NA
"7777","Refused",0,82,NA
"9999","Don't know",12,94,NA
".","Missing",684,778,NA
