"LBCF06.Code.or.Value","LBCF06.Value.Description","LBCF06.Count","LBCF06.Cumulative","LBCF06.Skip.to.Item"
"0.523 to 1.33","Range of Values",246,246,NA
".","Missing",18,264,NA
