"DRXTS120.Code.or.Value","DRXTS120.Value.Description","DRXTS120.Count","DRXTS120.Cumulative","DRXTS120.Skip.to.Item"
"0 to 19.1","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
