"DR1_300.Code.or.Value","DR1_300.Value.Description","DR1_300.Count","DR1_300.Cumulative","DR1_300.Skip.to.Item"
"1","Much more than usual",718,718,NA
"2","Usual",6413,7131,NA
"3","Much less than usual",1986,9117,NA
"7","Refused",0,9117,NA
"9","Don't know",43,9160,NA
".","Missing",483,9643,NA
