"LBC099LA.Code.or.Value","LBC099LA.Value.Description","LBC099LA.Count","LBC099LA.Cumulative","LBC099LA.Skip.to.Item"
"0.3456 to 22.41","Range of Values",251,251,NA
".","Missing",0,251,NA
