"PAXHAND.Code.or.Value","PAXHAND.Value.Description","PAXHAND.Count","PAXHAND.Cumulative","PAXHAND.Skip.to.Item"
"1","Yes (non-dominant hand)",6856,6856,NA
"2","No (dominant hand)",51,6907,NA
"9","Unknown",10,6917,NA
"< blank >","Missing",904,7821,NA
