"WTSPP18.Code.or.Value","WTSPP18.Value.Description","WTSPP18.Count","WTSPP18.Cumulative","WTSPP18.Skip.to.Item"
"0 to 833762.17409","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
