"FSD660ZC.Code.or.Value","FSD660ZC.Value.Description","FSD660ZC.Count","FSD660ZC.Cumulative","FSD660ZC.Skip.to.Item"
"1","Yes",664,664,NA
"2","No",213,877,NA
"7","Refused",0,877,NA
"9","Don't know",1,878,NA
".","Missing",8878,9756,NA
