"SDMVSTRA.Code.or.Value","SDMVSTRA.Value.Description","SDMVSTRA.Count","SDMVSTRA.Cumulative","SDMVSTRA.Skip.to.Item"
"90 to 103","Range of Values",9756,9756,NA
".","Missing",0,9756,NA
