"LBCF05LA.Code.or.Value","LBCF05LA.Value.Description","LBCF05LA.Count","LBCF05LA.Cumulative","LBCF05LA.Skip.to.Item"
"0.0316 to 9.58","Range of Values",246,246,NA
".","Missing",1,247,NA
