"DID070.Code.or.Value","DID070.Value.Description","DID070.Count","DID070.Cumulative","DID070.Skip.to.Item"
"1","Yes",377,377,NA
"2","No",433,810,NA
"7","Refused",0,810,NA
"9","Don't know",3,813,NA
".","Missing",9009,9822,NA
