"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.017 to 5.63","Range of Values",3189,3189,NA
".","Missing",258,3447,NA
