"DR2IP184.Code.or.Value","DR2IP184.Value.Description","DR2IP184.Count","DR2IP184.Cumulative","DR2IP184.Skip.to.Item"
"0 to 0.642","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
