"LBXSSE.Code.or.Value","LBXSSE.Value.Description","LBXSSE.Count","LBXSSE.Cumulative","LBXSSE.Skip.to.Item"
"74.9 to 297.9","Range of Values",2519,2519,NA
".","Missing",236,2755,NA
