"URDOXYLC.Code.or.Value","URDOXYLC.Value.Description","URDOXYLC.Count","URDOXYLC.Cumulative","URDOXYLC.Skip.to.Item"
"0","At or above the detection limit",670,670,NA
"1","Below lower detection limit",1918,2588,NA
".","Missing",106,2694,NA
