"ORXH66.Code.or.Value","ORXH66.Value.Description","ORXH66.Count","ORXH66.Cumulative","ORXH66.Skip.to.Item"
"1","Positive",31,31,NA
"2","Negative",4816,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
