"DSQIVB2.Code.or.Value","DSQIVB2.Value.Description","DSQIVB2.Count","DSQIVB2.Cumulative","DSQIVB2.Skip.to.Item"
"0.0153 to 400","Range of Values",2456,2456,NA
".","Missing",5829,8285,NA
