"LBCF04.Code.or.Value","LBCF04.Value.Description","LBCF04.Count","LBCF04.Cumulative","LBCF04.Skip.to.Item"
"0.776 to 52.5","Range of Values",247,247,NA
".","Missing",17,264,NA
