"DXDTRTOT.Code.or.Value","DXDTRTOT.Value.Description","DXDTRTOT.Count","DXDTRTOT.Cumulative","DXDTRTOT.Skip.to.Item"
"7011.8 to 91081.5","Range of Values",4938,4938,NA
".","Missing",842,5780,NA
