"URXCEM.Code.or.Value","URXCEM.Value.Description","URXCEM.Count","URXCEM.Cumulative","URXCEM.Skip.to.Item"
"4.92 to 3670","Range of Values",2356,2356,NA
".","Missing",106,2462,NA
