"CSQ180.Code.or.Value","CSQ180.Value.Description","CSQ180.Count","CSQ180.Cumulative","CSQ180.Skip.to.Item"
"1","Yes",47,47,NA
"2","No",1189,1236,NA
"7","Refused",1,1237,NA
"9","Don't know",1,1238,NA
".","Missing",2365,3603,NA
