"SSHPTYPE.Code.or.Value","SSHPTYPE.Value.Description","SSHPTYPE.Count","SSHPTYPE.Cumulative","SSHPTYPE.Skip.to.Item"
"16 to 82","Range of Values",769,769,NA
".","Missing",0,769,NA
