"LBDOXYLC.Code.or.Value","LBDOXYLC.Value.Description","LBDOXYLC.Count","LBDOXYLC.Cumulative","LBDOXYLC.Skip.to.Item"
"0","detectable result",907,907,NA
"1","below detectable limit",754,1661,NA
".","Missing",613,2274,NA
