"DXDTRLE.Code.or.Value","DXDTRLE.Value.Description","DXDTRLE.Count","DXDTRLE.Cumulative","DXDTRLE.Skip.to.Item"
"5434.2 to 56813.7","Range of Values",5288,5288,NA
".","Missing",745,6033,NA
