"MCQ268A.Code.or.Value","MCQ268A.Value.Description","MCQ268A.Count","MCQ268A.Cumulative","MCQ268A.Skip.to.Item"
"1","Father",124,124,NA
"7","Refused",0,124,NA
"9","Don't know",2,126,NA
".","Missing",9696,9822,NA
