"URXUSN.Code.or.Value","URXUSN.Value.Description","URXUSN.Count","URXUSN.Cumulative","URXUSN.Skip.to.Item"
"0.064 to 94.44","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
