"DR1IS180.Code.or.Value","DR1IS180.Value.Description","DR1IS180.Count","DR1IS180.Cumulative","DR1IS180.Skip.to.Item"
"0 to 24.029","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
