"DS1IFA.Code.or.Value","DS1IFA.Value.Description","DS1IFA.Count","DS1IFA.Cumulative","DS1IFA.Skip.to.Item"
"6.25 to 4000","Range of Values",1966,1966,NA
".","Missing",3940,5906,NA
