"DS1IVK.Code.or.Value","DS1IVK.Value.Description","DS1IVK.Count","DS1IVK.Cumulative","DS1IVK.Skip.to.Item"
"2.6 to 2000","Range of Values",831,831,NA
".","Missing",4539,5370,NA
