"URDOP4LC.Code.or.Value","URDOP4LC.Value.Description","URDOP4LC.Count","URDOP4LC.Cumulative","URDOP4LC.Skip.to.Item"
"0","At or above the detection limit",833,833,NA
"1","Below lower detection limit",1801,2634,NA
".","Missing",122,2756,NA
