"DR2IVB12.Code.or.Value","DR2IVB12.Value.Description","DR2IVB12.Count","DR2IVB12.Cumulative","DR2IVB12.Skip.to.Item"
"0 to 275.79","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
