"LBXHCY.Code.or.Value","LBXHCY.Value.Description","LBXHCY.Count","LBXHCY.Cumulative","LBXHCY.Skip.to.Item"
"1.61 to 156.3","Range of Values",7599,7599,NA
".","Missing",1233,8832,NA
