"DXXL3BMC.Code.or.Value","DXXL3BMC.Value.Description","DXXL3BMC.Count","DXXL3BMC.Cumulative","DXXL3BMC.Skip.to.Item"
"3.42 to 34.94","Range of Values",6176,6176,NA
".","Missing",1544,7720,NA
