"LBDGHCLC.Code.or.Value","LBDGHCLC.Value.Description","LBDGHCLC.Count","LBDGHCLC.Cumulative","LBDGHCLC.Skip.to.Item"
"0","At or above the detection limit",18,18,NA
"1","Below lower detection limit",1942,1960,NA
".","Missing",377,2337,NA
