"OCQ360.Code.or.Value","OCQ360.Value.Description","OCQ360.Count","OCQ360.Cumulative","OCQ360.Skip.to.Item"
"1 to 19","Range of Values",569,569,NA
"7777","Refused",0,569,NA
"9999","Don't know",1,570,NA
".","Missing",6064,6634,NA
