"LB2P1.Code.or.Value","LB2P1.Value.Description","LB2P1.Count","LB2P1.Cumulative","LB2P1.Skip.to.Item"
"0.1 to 14.4","Range of Values",105,105,NA
".","Missing",32,137,NA
