"AUXR5CR.Code.or.Value","AUXR5CR.Value.Description","AUXR5CR.Count","AUXR5CR.Cumulative","AUXR5CR.Skip.to.Item"
"5 to 95","Range of Values",31,31,NA
"666","No response",2,33,NA
"888","Could not obtain",0,33,NA
".","Missing",3001,3034,NA
