"LBXSTB.Code.or.Value","LBXSTB.Value.Description","LBXSTB.Count","LBXSTB.Cumulative","LBXSTB.Skip.to.Item"
"0.1 to 4.2","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
