"URXMOH.Code.or.Value","URXMOH.Value.Description","URXMOH.Count","URXMOH.Cumulative","URXMOH.Skip.to.Item"
"0.42 to 1959.3","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
