"PFQ057.Code.or.Value","PFQ057.Value.Description","PFQ057.Count","PFQ057.Cumulative","PFQ057.Skip.to.Item"
"1","Yes",535,535,NA
"2","No",5398,5933,NA
"7","Refused",0,5933,NA
"9","Don't know",2,5935,NA
".","Missing",3731,9666,NA
