"DXXLLFAT.Code.or.Value","DXXLLFAT.Value.Description","DXXLLFAT.Count","DXXLLFAT.Cumulative","DXXLLFAT.Skip.to.Item"
"446 to 18238.2","Range of Values",5290,5290,NA
".","Missing",743,6033,NA
