"SSBCEP.Code.or.Value","SSBCEP.Value.Description","SSBCEP.Count","SSBCEP.Cumulative","SSBCEP.Skip.to.Item"
"0.071 to 72.4","Range of Values",2036,2036,NA
".","Missing",18,2054,NA
